Question,Label,hindi_question,manually_translated_hindi,english_transliterated,disease,treatment plan,drug
Does massage help relieve joint pain?,Drug,क्या मालिश जोड़ों के दर्द को दूर करने में मदद करती है?,क्या मालिश जोड़ों के दर्द से राहत दिलाने में मदद करती है?,,जोड़ों के दर्द,,
What are the instructions for storage and disposal of Reswas Syrup?,Drug,रेसवास सिरप के भंडारण और निपटान के लिए क्या निर्देश हैं?,रेसवास सिरप के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,रेसवास सिरप
Are there any special instructions regarding storage and disposal of this medicine?,Other,क्या इस दवा के भंडारण और निपटान के बारे में कोई विशेष निर्देश हैं?,क्या इस दवा के भंडारण और निपटान के संबंध में कोई विशेष निर्देश हैं?,,,,
What if my child takes too much Emeset Syrup Juicy Lemon?,Drug,क्या होगा यदि मेरा बच्चा बहुत अधिक एमेसेट सिरप रसदार नींबू लेता है?,क्या होगा यदि मेरा बच्चा बहुत अधिक एमेसेट सिरप जूसी लेमन लेता है?,,,,एमेसेट सिरप जूसी लेम
How should I store my child’s medicine?,Other,मुझे अपने बच्चों की दवा कैसे स्टोर करनी चाहिए?,मुझे अपने बच्चे की दवा कैसे स्टोर करनी चाहिए?,,,,
Can I take Forxiga 10mg Tablet before surgery?,Drug,क्या सर्जरी से पहले मैं फॉर्सिगा १०एमजी टैबलेट (Forxiga 10mg Tablet) का सेवन कर सकता हूं?,मुझे कितने समय तक आईटी-मैक २०० कैप्सूल लेने की जरुरत होती है?,,,,आईटी-मैक २०० कैप्सूल
Can the Ecosprin-AV 75 Capsule cause muscle pain?,Drug,क्या इकोस्प्रिन-एवी ७५ कैप्सूल की वजह से मांसपेशियों में दर्द हो सकता है?,क्या इकोस्प्रिन-एवी ७५ कैप्सूल की वजह से मांसपेशियों में दर्द हो सकता है?,,,,इकोस्प्रिन-एवी ७५ कैप्सूल
What is Gardenal 60 Tablet used for?,Drug,गार्डेनल ६० टैबलेट के लिए क्या प्रयोग किया जाता है?,गार्डेनल ६० टैबलेट के लिए क्या प्रयोग किया जाता है?,,,,गार्डेनल ६० टैबलेट
Can the use of Combiflam Tablet cause dizziness?,Drug,क्या कॉम्बीफ्लेम टैबलेट (Combiflam Tablet) के प्रयोग से चक्कर आना होता है?,क्या कॉम्बीफ्लेम टैबलेट के प्रयोग से चक्कर आना होता है?,,,,कॉम्बीफ्लेम टैबलेट
What is Drotin-M Tablet?,Drug,ड्रोटिन-एम टैबलेट क्या है?,ड्रोटिन-एम टैबलेट क्या है?,,,,ड्रोटिन-एम टैबलेट
How long does it take for Vigore 100 Red Tablet to work?,Drug,विगोर १०० रेड टैबलेट (Vigore 100 Red Tablet) को काम करने में कितना समय लगता है?,विगोर १००  रेड टैबलेट को काम करने में कितना समय लगता है?,,,,विगोर १०० रेड टैबलेट
How long do I need to take Januvia 50mg Tablet?,Drug,मुझे कितने समय तक जानुविया ५०एमजी टैबलेट (Januvia 50mg Tablet) लेने की जरुरत होती है?,जानुविया ५०एमजी  टैबलेट को कितने समय तक लेने की जरुरत है?,,,,जानुविया ५०एमजी टैबलेट
"What is the difference between cardiac arrest, heart failure and myocardial infarction?",Disease,"कार्डियक अरेस्ट, दिल की विफलता और मायोकार्डियल रोधगलन के बीच अंतर क्या है?","कार्डियक अरेस्ट, हार्ट फेल्योर और मायोकार्डियल इंफार्क्शन में क्या अंतर है?",,"कार्डियक अरेस्ट, हार्ट फेल्योर, मायोकार्डियल इंफार्क्शन",,
Can I get pregnant while taking Crina-NCR 10mg Tablet?,Other,क्या क्रिना-एनसीआर १०एमजी टैबलेट (Crina-NCR 10mg Tablet) लेते समय मैं गर्भवती हो सकती हूं?,क्या मैं क्रिना-एनसीआर १०एमजी टैबलेट लेते समय गर्भवती हो सकती हूं?,,,,क्रिना-एनसीआर १०एमजी टैबलेट
For how long should I apply Candid Mouth Paint? Can I stop if the symptoms have completely disappeared?,Other,मुझे कब तक कैंडिड माउथ पेंट लागू करना चाहिए? क्या मैं रोक सकता हूं यदि लक्षण पूरी तरह से गायब हो गए हैं?,मुझे कितने समय के लिए कैंडिडेट माउथ पेंट लगाना चाहिए? यदि लक्षण पूरी तरह से गायब हो गए हैं तो क्या मैं रुक सकता हूं?,,,,कैंडिडेट माउथ पेंट
Can the use of Hifenac-MR Tablet cause damage to liver?,Drug,क्या हिफेनाक-एमआर टैबलेट (Hifenac-MR Tablet) का प्रयोग यकृत को नुकसान पहुंचा सकता है?,क्या हिफेनाक-एमआर टैबलेट का प्रयोग यकृत को नुकसान पहुंचा सकता है?,,,,हिफेनाक-एमआर टैबलेट
Are there any specific contraindications associated with the use of Cyclopam Tablet?,Drug,क्या साइक्लोपैम टैबलेट (Cyclopam Tablet) के प्रयोग से संबंधित कोई विशिष्ट निषेध हैं?,क्या साइक्लोपाम टैबलेट के उपयोग से जुड़े कोई विशिष्ट मतभेद हैं?,,,,साइक्लोपाम टैबलेट
What if somebody takes more than the recommended dose of Gabapin 300 Capsule?,Drug,क्या होगा यदि कोई गाबापिन ३०० कैप्सूल (Gabapin 300 Capsule) की अनुशंसित खुराक से अधिक लेता है?,क्या होगा अगर कोई गाबापिन ३०० कैप्सूल की सुझाई गई खुराक से अधिक लेता है?,,,,गाबापिन ३०० कैप्सूल
What are the side effects of Ketoford 2% Cream?,Drug,कीटोफोर्ड २% क्रीम के क्या दुष्प्रभाव हैं?,केटोफोर्ड २% क्रीम के दुष्प्रभाव क्या हैं?,,,,केटोफोर्ड २% क्रीम
What are the side effects of Feburic 40 Tablet?,Drug,फेब्यूरिक ४० टैबलेट के क्या दुष्प्रभाव हैं?,फेबुरिक ४० टैबलेट के क्या दुष्प्रभाव हैं?,,,,फेबुरिक ४० टैबलेट
I am taking Retino-A 0.025% Cream. What should I do if I am planning to become pregnant?,Drug,मैं रेटिनो-ए 0.02        २५% क्रीम (Retino-A 0.025% Cream) ले रहा हूँ। अगर मैं गर्भवती होने की योजना बना रही हूं तो मुझे क्या करना चाहिए?,मैं रेटिनो-ए 0.0२५% क्रीम का सेवन कर रहा हूं। अगर मैं गर्भवती होने की योजना बना रही हूं तो मुझे क्या करना चाहिए?,,,,रेटिनो-ए 0.0२५% क्रीम
Is cheese harmful to stomach-ulcer patients?,Other,क्या पनीर पेट-अल्सर के मरीजों के लिए हानिकारक है?,क्या पनीर पेट के अल्सर के मरीजों के लिए हानिकारक है?,,अल्सर,,
In what conditions do I need to call my child’s doctor right away?,Other,किन परिस्थितियों में मुझे अपने बच्चों के डॉक्टर को तुरंत कॉल करने की आवश्यकता है?,किन स्थितियों में मुझे अपने बच्चे के डॉक्टर को तुरंत बुलाने की ज़रूरत है?,,,,
What are the instructions for the storage and disposal of Clavam 625 Tablet?,Drug,क्लेवम ६२५ टैबलेट (Clavam 625 Tablet) के भंडारण और निपटान के लिए क्या निर्देश हैं?,क्लेवम ६२५ टैबलेट के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,क्लेवम ६२५ टैबलेट
Can I breastfeed while taking Zedex Cough Syrup?,Drug,क्या ज़ेडेक्स कफ सिरप लेते समय मुझे स्तनपान करा सकते हैं?,क्या मैं ज़ेडेक्स कफ सिरप लेते समय स्तनपान कर सकता हूं?,,,,ज़ेडेक्स कफ सिरप
Does Josh In 50mg Tablet affect sperm?,Drug,क्या जोश इन ५०एमजी टैबलेट (Josh In 50mg Tablet) शुक्राणु को प्रभावित करता है?,क्या जोश इन ५०एमजी टैबलेट शुक्राणु को प्रभावित करता है?,,,,जोश इन ५०एमजी टैबलेट
What are the instructions for storage and disposal of Montina-L Tablet?,Other,मोंटिना-एल टैबलेट (Montina-L Tablet) के भंडारण और निपटान के लिए क्या निर्देश हैं?,मोंटिना-एल टैबलेट के भंडारण और निपटान के लिए क्या निर्देश हैं?,,,,मोंटिना-एल टैबलेट
How long should I take Idrofos 150 Tablet?,Drug,मुझे कितने समय तक इड्रोफॉस १५० टैबलेट लेना चाहिए?,मुझे इड्रोफोस १५० टैबलेट कितने समय तक लेना चाहिए?,,,,इड्रोफोस १५० टैबलेट
What does Buscopan 20mg Injection treat and how does it work?,Other,बुस्कोपन २०एमजी इंजेक्शन (Buscopan 20mg Injection) क्या इलाज करता है और यह कैसे काम करता है?,बुस्कोपन २०एमजी इंजेक्शन क्या इलाज  करता है और यह कैसे काम करता है?,,,,बुस्कोपन २०एमजी इंजेक्शन
Does Etizola 0.25 Tablet have abuse potential?,Drug,क्या एटिज़ोला ०.२५ टैबलेट (Etizola 0.25 Tablet) में दुरुपयोग की क्षमता है?,क्या  एटिज़ोला ०.२५ टैबलेट में दुरुपयोग की संभावना है?,,,,एटिज़ोला ०.२५ टैबलेट
,,,,,,,
What is peripheral neuropathy?,Treatment,परिधीय न्यूरोपैथी क्या है?,परिधीय न्यूरोपैथी क्या है?,paridhiya neuropathy kya hai?,,परिधीय न्यूरोपैथी,
can an anal fissure be caused by a sigmoidoscopy,Treatment,एक गुदा विदर एक सिग्मोइडोस्कोपी के कारण हो सकता है,क्या सिग्मोइडोस्कोपी के कारण गुदा विदर हो सकता है?,kya sigmoidoscopy ke karana guda vidara ho sakata hai?,,सिग्मोइडोस्कोपी,
what is adenopathy?,Treatment,Adenopathy क्या है?,एडेनोपैथी क्या है?,adenopathy kya hai?,,एडेनोपैथी,
do iron supplements cause gas?,Treatment,क्या लोहे की खुराक गैस का कारण बनती है?,क्या आयरन सप्लीमेंट से गैस बनती है?,kya iron supplement se gaisa banati hai?,,आयरन सप्लीमेंट,
what is the best color for full porcelain dentures?,Treatment,पूर्ण चीनी मिट्टी के बरतन डेन्चर के लिए सबसे अच्छा रंग क्या है?,पोसेलेन के डेन्चर के लिए सबसे अच्छा रंग क्या है?,porcelein ke denchara ke lie sabase achcha ramga kya hai?,,पोसेलेन के डेन्चर,
colonoscopy tomorrow but started my menstrual cycle can i still have the test?,Treatment,कल कोलोनोस्कोपी लेकिन मेरे मासिक धर्म चक्र शुरू कर दिया मैं अभी भी परीक्षण कर सकते हैं?,कल कोलोनोस्कोपी लेकिन मेरे मासिक धर्म चक्र शुरू कर दिया अभी भी परीक्षण कर सकते हैं?,kala colonoscopy lekina mere masika dharma chakra shuru kara diya abhi bhi parikshana kara sakate haim?,,कोलोनोस्कोपी,
can a woman with a tubal ligation still release cervical fluid during ovulation?,Treatment,क्या एक ट्यूबल बंधाव के साथ एक महिला अभी भी ओव्यूलेशन के दौरान गर्भाशय ग्रीवा तरल पदार्थ जारी कर सकती है?,क्या एक ट्यूबल बंधाव के साथ एक महिला अभी भी ओव्यूलेशन के दौरान गर्भाशय ग्रीवा तरल पदार्थ जारी कर सकती है?,kya eka tubal bamdhava ke satha eka mahila abhi bhi ovulation ke daurana garbhashaya griva tarala padartha jari kara sakati hai?,,ट्यूबल बंधाव,
